olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/05 Organ Sonata no. 4 in E minor, BWV 528_ II. Adagio (Orig. Andante; transcr. by August Stradal).flac	suspect			61.5	-55.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-120.0	-120.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/09 Prelude and Fugue in C minor, BWV 847, (The Well-Tempered Clavier, Book I, No. 2)_ I. Prelude.flac	suspect			69.8	-44.2	-110.5	-110.5	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/10 Prelude and Fugue in C minor, BWV 847, (The Well-Tempered Clavier, Book I, No. 2)_ II. Fugue.flac	suspect			78.4	-35.5	-108.0	-108.0	-108.0	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/14 Aria variata (alla maniera italiana) in A minor, BWV 989_ III. Variation 2.flac	suspect			87.9	-32.1	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/11 _Widerstehe doch der Sunde_, BWV 54, Aria.flac	suspect			67.4	-46.6	-110.5	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/13 Aria variata (alla maniera italiana) in A minor, BWV 989_ II. Variation 1.flac	suspect			77.9	-35.2	-108.0	-108.0	-108.0	-108.0	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/12 Aria variata (alla maniera italiana) in A minor, BWV 989_ I. Aria.flac	suspect			65.0	-49.0	-108.0	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/15 Aria variata (alla maniera italiana) in A minor, BWV 989_ IV. Variation 3.flac	suspect			75.6	-32.4	-103.1	-103.1	-104.4	-104.4	-104.4	-104.4	-106.0	-106.0	-106.0	-106.0	-106.0	-108.0	-108.0	-108.0	-108.0	-108.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/16 Aria variata (alla maniera italiana) in A minor, BWV 989_ V. Variation 4.flac	suspect			77.6	-32.9	-106.0	-106.0	-106.0	-108.0	-108.0	-108.0	-108.0	-108.0	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/17 Aria variata (alla maniera italiana) in A minor, BWV 989_ VI. Variation 5.flac	suspect			76.5	-34.0	-104.4	-106.0	-106.0	-106.0	-106.0	-108.0	-108.0	-108.0	-108.0	-108.0	-108.0	-108.0	-110.5	-110.5	-110.5	-110.5
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/18 Aria variata (alla maniera italiana) in A minor, BWV 989_ VII. Variation 6.flac	suspect			71.3	-48.7	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/19 Aria variata (alla maniera italiana) in A minor, BWV 989_ VIII. Variation 7.flac	suspect			80.8	-31.4	-104.4	-106.0	-106.0	-108.0	-108.0	-108.0	-108.0	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/20 Aria variata (alla maniera italiana) in A minor, BWV 989_ IX. Variation 8.flac	suspect			78.2	-31.0	-103.1	-103.1	-104.4	-104.4	-106.0	-106.0	-106.0	-108.0	-108.0	-108.0	-108.0	-108.0	-108.0	-108.0	-110.5	-110.5
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/22 Aria variata (alla maniera italiana) in A minor, BWV 989_ XI. Variation 10.flac	suspect			73.4	-37.1	-106.0	-106.0	-106.0	-108.0	-108.0	-108.0	-108.0	-108.0	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/21 Aria variata (alla maniera italiana) in A minor, BWV 989_ X. Variation 9.flac	suspect			74.7	-36.7	-106.0	-108.0	-108.0	-108.0	-108.0	-108.0	-108.0	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/24 Invention no. 12 in A major, BWV 783.flac	suspect			80.3	-33.7	-108.0	-110.5	-110.5	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/23 Aria variata (alla maniera italiana) in A minor, BWV 989_ XII. Aria da capo.flac	suspect			62.3	-50.8	-108.0	-108.0	-108.0	-108.0	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/25 Sinfonia no. 12 in A major, BWV 798.flac	suspect			84.8	-35.2	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/26 Partita no. 3 for Violin Solo in E major, BWV 1006, 3. Gavotte (Transcr. by Sergei Rachmaninov).flac	suspect			77.6	-36.4	-110.5	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/30 Harpsichord Concerto in D minor, BWV 974, (After Alessandro Marcello's Oboe Concerto)_ I. Andante.flac	suspect			71.6	-33.2	-100.0	-100.9	-101.9	-101.9	-101.9	-103.1	-103.1	-103.1	-103.1	-104.4	-104.4	-104.4	-104.4	-104.4	-104.4	-106.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/29 Invention no. 15 in B minor, BWV 786.flac	suspect			74.1	-36.3	-106.0	-108.0	-108.0	-108.0	-108.0	-108.0	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/27 Prelude and Fugue in E minor, BWV 855a, Prelude (The Well-Tempered Clavier, Book I, No. 10; transcr. to B minor by Alexander Siloti).flac	suspect			75.2	-44.8	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/28 Sinfonia no. 15 in B minor, BWV 801.flac	suspect			72.6	-41.4	-106.0	-108.0	-108.0	-108.0	-108.0	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/31 Harpsichord Concerto in D minor, BWV 974, (After Alessandro Marcello's Oboe Concerto)_ II. Adagio.flac	suspect			67.2	-52.8	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/32 Harpsichord Concerto in D minor, BWV 974, (After Alessandro Marcello's Oboe Concerto)_ III. Presto.flac	suspect			80.0	-34.0	-110.5	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/33 Chorale Prelude, BWV 639, _Ich ruf zu dir, Her Jesu Christ_, (Transcr. by Ferruccio Busoni).flac	suspect			64.6	-49.4	-110.5	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/34 Fantasia and Fugue in A minor, BWV 904_ I. Fantasia.flac	suspect			84.1	-35.9	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0	-120.0
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/35 Fantasia and Fugue in A minor, BWV 904_ II. Fugue.flac	suspect			74.3	-39.7	-110.5	-110.5	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0	-114.0
